Producto,Categoría,Score_A,Score_B,CF_kgCO2,WF_L,LU_m2,Waste_%,NOVA
Aguacate,Frutas,96.22900197431066,95.97851287322524,0.5,2047,9.2,3.9,1
Mango,Frutas,95.96108126185598,95.54567058915038,0.6,1800,2.1,5.085,1
Frijol,Leguminosas,92.83184879358426,92.30324601839035,0.9,4055,3.4,7.2666666666666675,1
Naranja,Frutas,93.24132006746026,91.98285362062812,0.3,560,0.5,11.99,1
Plátano,Frutas,89.33291714464897,90.37871980271628,0.7,790,1.6,0.45,1
Calabaza,Vegetales,91.89189610511109,90.32981410893532,0.4,353,0.9,14.65,1
Tomate,Vegetales,91.17825901821864,89.50990687163511,1.4,214,0.8,15.688,1
Garbanzo,Leguminosas,90.09316596412548,89.34311248827433,1.0,5520,4.2,10.0,1
Limón,Frutas,90.35961441256768,88.5489826269615,0.4,642,0.5,17.015,1
